"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","aic_quantity","aic_gross_amount"
"2026-04-01","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","49.88306000000001","0.49883060000000007"
"2026-04-01","savabs","copilot","copilot_premium_request","Claude Opus 4.6","15","requests","0.04","0.6","0.6","0","False","1500","","","2062.7318999999998","20.627319000000025"
"2026-04-01","savabs","copilot","copilot_premium_request","GPT-5.4","20","requests","0.04","0.8000000000000002","0.8000000000000002","0","False","1500","","","592.9570150000002","5.929570150000002"
"2026-04-02","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","14.36651","0.14366510000000002"
"2026-04-02","savabs","copilot","copilot_premium_request","Claude Opus 4.6","21","requests","0.04","0.84","0.84","0","False","1500","","","1341.5267750000003","13.415267750000005"
"2026-04-02","savabs","copilot","copilot_premium_request","GPT-5.4","3","requests","0.04","0.12","0.12","0","False","1500","","","12.960395000000002","0.12960395"
"2026-04-03","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","59.80062000000001","0.5980061999999997"
"2026-04-03","savabs","copilot","copilot_premium_request","Claude Opus 4.6","33","requests","0.04","1.3200000000000003","1.3200000000000003","0","False","1500","","","1776.5315","17.765314999999994"
"2026-04-03","savabs","copilot","copilot_premium_request","GPT-5.4","16","requests","0.04","0.64","0.64","0","False","1500","","","148.94222","1.4894222000000004"
"2026-04-04","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","11.82318","0.1182318"
"2026-04-04","savabs","copilot","copilot_premium_request","Claude Opus 4.6","24","requests","0.04","0.96","0.96","0","False","1500","","","1749.0422999999994","17.490423000000003"
"2026-04-04","savabs","copilot","copilot_premium_request","GPT-5.4","17","requests","0.04","0.68","0.68","0","False","1500","","","297.48635","2.9748635000000005"
"2026-04-05","savabs","copilot","copilot_premium_request","Claude Opus 4.6","12","requests","0.04","0.48","0.48","0","False","1500","","","1329.66145","13.2966145"
"2026-04-05","savabs","copilot","copilot_premium_request","GPT-5.4","12","requests","0.04","0.4799999999999999","0.4799999999999999","0","False","1500","","","381.95251500000006","3.8195251500000014"
"2026-04-06","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","59.309660000000015","0.5930966000000002"
"2026-04-06","savabs","copilot","copilot_premium_request","Claude Opus 4.6","33","requests","0.04","1.3200000000000003","1.3200000000000003","0","False","1500","","","2975.450799999999","29.75450800000002"
"2026-04-06","savabs","copilot","copilot_premium_request","GPT-5.4","28","requests","0.04","1.1200000000000003","1.1200000000000003","0","False","1500","","","608.0512549999996","6.080512549999998"
"2026-04-07","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","134.24046999999996","1.3424047000000001"
"2026-04-07","savabs","copilot","copilot_premium_request","Claude Opus 4.6","90","requests","0.04","3.6000000000000023","3.6000000000000023","0","False","1500","","","6913.670850000004","69.13670850000007"
