timestamp,model,task_type,complexity,input_tokens,output_tokens,total_tokens,cost_input,cost_output,total_cost,response_time_ms,success
2026-05-15 14:27:37.650118,deepseek-chat,code_review,5,2295,1411,3706,0.0003213,0.00019754,0.00051884,879,0
2026-05-15 14:27:37.652250,claude-haiku,bug_analysis,4,2309,1000,3309,0.0018472,0.0004,0.0022472,3969,1
2026-05-15 14:27:37.654049,deepseek-chat,bug_analysis,10,2171,217,2388,0.00030394000000000005,3.0380000000000004e-05,0.00033432000000000004,500,1
2026-05-15 14:27:37.656391,claude-haiku,test_generation,10,1369,1176,2545,0.0010952,0.00047040000000000005,0.0015655999999999999,1990,1
2026-05-15 14:27:37.658113,claude-sonnet,bug_analysis,10,2115,1510,3625,0.010575,0.02265,0.033225,2911,0
2026-05-15 14:27:37.659792,claude-sonnet,bug_analysis,10,2353,636,2989,0.011765,0.00954,0.021304999999999998,2575,1
2026-05-15 14:27:37.661492,claude-haiku,test_generation,10,895,390,1285,0.000716,0.000156,0.0008719999999999999,4489,1
2026-05-15 14:27:37.663236,claude-haiku,bug_analysis,10,1193,222,1415,0.0009544000000000001,8.880000000000002e-05,0.0010432000000000002,4782,1
2026-05-15 14:27:37.665021,deepseek-chat,test_generation,4,2026,954,2980,0.00028364000000000004,0.00013356000000000002,0.00041720000000000006,836,0
2026-05-15 14:27:37.667075,claude-haiku,code_review,6,2894,1836,4730,0.0023152000000000003,0.0007344000000000001,0.0030496000000000004,596,1
2026-05-15 14:27:37.668795,claude-haiku,code_review,7,1581,578,2159,0.0012648000000000002,0.0002312,0.0014960000000000002,659,1
2026-05-15 14:27:37.670645,deepseek-chat,code_review,8,1729,1758,3487,0.00024206000000000002,0.00024612,0.00048818000000000006,859,1
2026-05-15 14:27:37.672464,claude-sonnet,code_review,4,1342,1264,2606,0.00671,0.01896,0.025670000000000002,1712,1
2026-05-15 14:27:37.674241,deepseek-chat,bug_analysis,7,1722,908,2630,0.00024108000000000002,0.00012712000000000002,0.00036820000000000006,1777,1
2026-05-15 14:27:37.675874,claude-sonnet,test_generation,3,1311,1976,3287,0.006555,0.02964,0.036195,1591,0
2026-05-15 14:27:37.677537,claude-sonnet,test_generation,6,2962,667,3629,0.01481,0.010005,0.024815,827,1
2026-05-15 14:27:37.679427,claude-haiku,code_review,10,2620,1644,4264,0.002096,0.0006576,0.0027536,3677,1
2026-05-15 14:27:37.681108,claude-sonnet,bug_analysis,9,2750,1094,3844,0.01375,0.01641,0.03016,1575,1
2026-05-15 14:27:37.682844,deepseek-chat,code_review,3,2565,1122,3687,0.0003591,0.00015708,0.00051618,3512,1
2026-05-15 14:27:37.684477,deepseek-chat,test_generation,5,2052,640,2692,0.00028728000000000005,8.960000000000001e-05,0.00037688000000000006,1933,1
2026-05-15 14:27:37.686123,claude-haiku,code_review,10,1367,242,1609,0.0010936000000000001,9.680000000000001e-05,0.0011904,3629,1
2026-05-15 14:27:37.687785,claude-sonnet,code_review,10,2862,1318,4180,0.01431,0.01977,0.03408,1789,1
2026-05-15 14:27:37.689403,claude-sonnet,bug_analysis,2,2618,1946,4564,0.01309,0.02919,0.04228,2173,1
2026-05-15 14:27:37.690991,deepseek-chat,bug_analysis,4,1483,1358,2841,0.00020762000000000002,0.00019012,0.00039774000000000005,2799,1
2026-05-15 14:27:37.692585,claude-haiku,test_generation,3,618,1259,1877,0.0004944,0.0005036,0.000998,2886,1
2026-05-15 14:27:37.694281,deepseek-chat,test_generation,4,2908,1998,4906,0.0004071200000000001,0.00027972,0.0006868400000000001,3851,1
2026-05-15 14:27:37.695974,claude-haiku,code_review,10,2956,1920,4876,0.0023648000000000002,0.000768,0.0031328000000000003,2879,1
2026-05-15 14:27:37.697562,deepseek-chat,test_generation,6,1621,1698,3319,0.00022694000000000002,0.00023772000000000002,0.00046466000000000004,1104,1
2026-05-15 14:27:37.699226,deepseek-chat,bug_analysis,2,2282,844,3126,0.00031948,0.00011816000000000001,0.00043764000000000005,2245,1
2026-05-15 14:27:37.700961,deepseek-chat,test_generation,1,601,587,1188,8.414000000000002e-05,8.218e-05,0.00016632000000000002,927,1
2026-05-15 14:27:37.702606,claude-haiku,code_review,4,915,1907,2822,0.000732,0.0007628000000000001,0.0014948000000000001,2838,1
2026-05-15 14:27:37.705000,deepseek-chat,bug_analysis,1,1319,1885,3204,0.00018466000000000004,0.0002639,0.0004485600000000001,2121,1
2026-05-15 14:27:37.707562,claude-sonnet,test_generation,6,2942,879,3821,0.01471,0.013185,0.027895000000000003,4479,1
2026-05-15 14:27:37.709602,deepseek-chat,code_review,5,1909,1106,3015,0.00026726000000000007,0.00015484,0.00042210000000000007,3232,1
2026-05-15 14:27:37.711343,claude-sonnet,code_review,2,1746,344,2090,0.00873,0.00516,0.01389,1726,0
2026-05-15 14:27:37.713239,deepseek-chat,code_review,1,556,715,1271,7.784e-05,0.00010010000000000001,0.00017794000000000002,3857,1
2026-05-15 14:27:37.715041,deepseek-chat,bug_analysis,8,1077,1708,2785,0.00015078,0.00023912000000000003,0.0003899,2252,1
2026-05-15 14:27:37.716725,deepseek-chat,code_review,6,1563,683,2246,0.00021882000000000002,9.562000000000001e-05,0.00031444000000000003,4280,1
2026-05-15 14:27:37.718409,deepseek-chat,test_generation,2,2941,224,3165,0.00041174000000000007,3.1360000000000005e-05,0.0004431000000000001,3662,1
2026-05-15 14:27:37.720167,deepseek-chat,test_generation,6,1435,1667,3102,0.0002009,0.00023338000000000002,0.00043428,4461,1
2026-05-15 14:27:37.722231,claude-haiku,test_generation,10,679,850,1529,0.0005432000000000001,0.00034,0.0008832000000000001,613,0
2026-05-15 14:27:37.723902,claude-haiku,bug_analysis,9,2991,1931,4922,0.0023928,0.0007724000000000001,0.0031652,3742,1
2026-05-15 14:27:37.725627,claude-sonnet,code_review,6,2949,520,3469,0.014745,0.0078,0.022545,3213,1
2026-05-15 14:27:37.727220,deepseek-chat,bug_analysis,9,1193,1187,2380,0.00016702,0.00016618,0.0003332,3719,1
2026-05-15 14:27:37.729514,claude-haiku,bug_analysis,9,2363,1840,4203,0.0018904000000000002,0.000736,0.0026264,599,1
2026-05-15 14:27:37.731197,claude-haiku,code_review,10,2005,1006,3011,0.001604,0.0004024,0.0020064,3052,1
2026-05-15 14:27:37.732885,claude-sonnet,test_generation,3,2781,1283,4064,0.013905,0.019245,0.03315,4590,1
2026-05-15 14:27:37.734653,claude-haiku,code_review,6,1939,1177,3116,0.0015512,0.0004708,0.002022,2014,1
2026-05-15 14:27:37.736361,claude-haiku,test_generation,8,2275,1003,3278,0.00182,0.00040120000000000005,0.0022212,2321,1
2026-05-15 14:27:37.737955,claude-sonnet,bug_analysis,8,972,1264,2236,0.00486,0.01896,0.02382,4690,1
